state_postal_abbr,data_year,officer,officer_rate_per_1000,civilian_count,civilian__rate_per_1000,population
AK,1960,,,,,70828
AK,1961,,,,,222930
AK,1963,,,,,83943
AK,1964,,,,,232007
AK,1965,,,,,81331
AK,1966,,,,,93707
AK,1967,,,,,86532
AK,1968,,,,,92689
AK,1969,,,,,89705
AK,1970,,,,,85054
AK,1971,230,2.259998035,83,0.815564508,101770
AK,1972,457,1.417665288,165,0.511848518,322361
AK,1973,290,2.337729339,93,0.749685616,124052
AK,1974,341,2.3445611,118,0.811314398,145443
AK,1975,357,2.012719031,127,0.716009291,177372
AK,1976,338,1.589391517,125,0.587792721,212660
AK,1977,371,1.581394952,129,0.549865091,234603
AK,1978,453,1.760741299,185,0.719066535,257278
AK,1979,434,1.811488342,165,0.688699485,239582
AK,1980,534,1.960136549,208,0.76349888,272430
AK,1981,543,1.941449043,242,0.86524985,279688
AK,1982,582,1.924208661,233,0.770344704,302462
AK,1983,1031,2.152400835,704,1.469728601,479000
AK,1984,897,1.81183937,481,0.971566039,495077
AK,1985,973,1.893191321,471,0.916436909,513947
AK,1986,963,1.830749752,715,1.359279411,526014
AK,1987,888,1.720723479,501,0.970813584,516062
AK,1988,910,1.780612844,573,1.121199076,511060
AK,1989,864,1.667342095,507,0.978405604,518190
AK,1990,930,1.703374697,504,0.92311919,545975
AK,1991,963,1.712508425,594,1.056313608,562333
AK,1992,873,1.537540288,502,0.884129696,567790
AK,1993,1043,1.741235392,610,1.01836394,599000
AK,1994,1025,1.699574858,562,0.931864458,603092
AK,1995,1095,1.812913907,632,1.046357616,604000
AK,1996,1110,1.833080665,648,1.070122767,605538
AK,1997,814,1.954686806,439,1.054186127,416435
AK,1998,1056,1.74467593,642,1.060683662,605270
AK,1999,1130,1.825790503,683,1.103553021,618910
AK,2000,1116,1.788060371,670,1.073477104,624140
AK,2001,1165,1.835261277,656,1.033417509,634787
AK,2002,1161,1.805725129,696,1.082501886,642955
AK,2003,1135,1.751489152,677,1.044720842,648020
AK,2004,1213,1.85067932,683,1.042056039,655435
AK,2005,1174,1.773325499,664,1.002971151,662033
AK,2006,1220,1.822582091,717,1.071140458,669380
AK,2007,1204,1.767521066,684,1.004139875,681180
AK,2008,1260,1.835950534,703,1.02434383,686293
AK,2009,1262,1.81250745,715,1.026896059,696273
AK,2010,1219,1.717690094,725,1.021595831,709674
AK,2011,1285,1.779406246,705,0.976250119,722151
AK,2012,1280,1.756388864,683,0.937198121,728768
AK,2013,1312,1.790068124,625,0.852738245,732933
AK,2014,1258,1.717708648,680,0.928491161,732371
AK,2016,1219,1.64309187,719,0.969141144,741894
AK,2017,1247,1.686240306,686,0.927635004,739515
AK,2018,1286,1.743875417,699,0.947876296,737438
AK,2019,1271,1.737418751,708,0.967814694,731545
AK,2020,1290,1.766155531,712,0.974808324,730400
AL,1960,,,,,1444996
AL,1961,,,,,1719525
AL,1962,,,,,1284497
AL,1963,,,,,1536625
AL,1964,,,,,1399739
AL,1965,,,,,1802686
AL,1966,,,,,1762382
AL,1967,,,,,1669337
AL,1968,,,,,1395036
AL,1969,,,,,1501416
AL,1970,,,,,1574469
AL,1971,2468,1.424335358,326,0.188141542,1732738
AL,1972,4526,1.449477727,1019,0.326340655,3122504
AL,1973,4102,1.410093478,736,0.253005558,2909027
AL,1974,4611,1.423056352,870,0.268501199,3240209
AL,1975,4811,1.48594927,988,0.30515857,3237661
AL,1976,5467,1.598655807,1149,0.335989669,3419748
AL,1977,4820,1.610745611,1271,0.424742256,2992403
AL,1978,5551,1.684357835,1515,0.459701337,3295618
AL,1979,5758,1.666745305,1649,0.477329456,3454637
AL,1980,6059,1.594783828,1792,0.471670675,3799261
AL,1981,5959,1.53895938,1837,0.474419933,3872097
AL,1982,5913,1.513817909,1883,0.482076631,3906018
AL,1983,6779,1.713635116,2531,0.639800926,3955918
AL,1984,6775,1.7046847,2711,0.682125494,3974342
AL,1985,6799,1.691347386,2920,0.726391288,4019872
AL,1986,7203,1.777202073,2998,0.739698988,4053000
AL,1987,7141,1.752020307,3009,0.738248019,4075866
AL,1988,7334,1.785310888,3134,0.762907598,4107968
AL,1989,7564,1.841610313,3217,0.783244365,4107275
AL,1990,7880,1.951012261,3369,0.834132019,4038929
AL,1991,8271,2.02442577,3548,0.868415262,4085603
AL,1992,8480,2.058173497,3521,0.854578878,4120158
AL,1993,8582,2.052531116,3847,0.920075414,4181179
AL,1994,8743,2.07344398,3939,0.934152561,4216656
AL,1995,9027,2.124151939,4233,0.996071248,4249696
AL,1996,9355,2.189328341,4601,1.076761058,4273000
AL,1997,8805,2.038666358,4152,0.961333642,4319000
AL,1998,9916,2.283934309,4771,1.098895784,4341631
AL,1999,10094,2.318986814,4804,1.103666797,4352763
AL,2000,10155,2.306873461,4948,1.124018699,4402062
AL,2001,10120,2.274171613,5180,1.164052268,4449972
AL,2002,9351,2.378937739,4262,1.084272553,3930746
AL,2003,10147,2.33275683,5136,1.180746928,4349789
AL,2004,9472,2.27568622,5004,1.202231191,4162261
AL,2005,8747,2.195275352,4039,1.013686652,3984466
AL,2006,10320,2.313726519,5387,1.207756275,4460337
AL,2007,10671,2.353873347,5676,1.252046211,4533379
AL,2008,10775,2.428237962,5397,1.216259887,4437374
AL,2009,11245,2.451155095,5672,1.236367425,4587633
AL,2010,10930,2.354247219,5275,1.13619891,4642673
AL,2011,10775,2.413950776,5410,1.21201612,4463637
